unique_key,created_date,agency,agency_name,complaint_type,descriptor,descriptor_2,location_type,incident_zip,incident_address,street_name,council_district,bbl,borough,latitude,longitude
60733738,2024-03-31T14:18:14.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Unlicensed,Street,10009.0,AVENUE A,AVENUE A,2.0,,MANHATTAN,40.73044231804128,-73.98033946526458
64555552,2025-04-04T06:52:25.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10007.0,189 BROADWAY,BROADWAY,1.0,1000630013.0,MANHATTAN,40.710255892218875,-74.00961988741942
57916172,2023-06-16T05:57:17.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Unlicensed,Street,11412.0,112-31 FARMERS BOULEVARD,FARMERS BOULEVARD,27.0,4109680099.0,QUEENS,40.70010495946165,-73.76361805032329
65607041,2025-07-19T22:40:29.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Smoke/Odor,From Unit Creating Nuisance,Mobile Food Vendor,10036.0,212 WEST   42 STREET,WEST   42 STREET,3.0,1010130029.0,MANHATTAN,40.7562933851082,-73.98758332051118
61265918,2024-05-25T16:46:44.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Other,Park,10468.0,2550 JEROME AVENUE,JEROME AVENUE,14.0,2031760001.0,BRONX,40.86526206336536,-73.89911184053967
62856316,2024-10-23T11:15:27.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Bare Hands in Contact w/Food,Mobile Food Vendor,11201.0,7 EVERIT STREET,EVERIT STREET,33.0,3002010004.0,BROOKLYN,40.70253513253691,-73.99431601548454
62489386,2024-09-18T11:50:52.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Equipment,Dirty Equipment/Utensils,Mobile Food Vendor,10019.0,1 WEST   54 STREET,WEST   54 STREET,4.0,1012700034.0,MANHATTAN,40.76125127668166,-73.97585425808583
54007820,2022-04-25T21:03:40.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Source/Protection,Food Contaminated,Mobile Food Vendor,10001.0,92 WEST   32 STREET,WEST   32 STREET,3.0,1008330078.0,MANHATTAN,40.74845174752439,-73.98858810491777
62448228,2024-09-15T13:54:04.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Unlicensed,Street,11233.0,152 SARATOGA AVENUE,SARATOGA AVENUE,41.0,3015140134.0,BROOKLYN,40.68135681280081,-73.91689090309484
43058933,2019-06-22T12:21:17.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Ice Cream Truck/Cart,Park,10463.0,,,,,Unspecified,,
